アン	an
タン	tan
マン	man
ギン	gin
ビン	bin
イン	in
チン	chin
ミン	min
グン	gun
ブン	bun
ウン	un
ツン	tsun
ムン	mun
ゲン	gen
ベン	ben
エン	en
テン	ten
メン	men
ゴン	gon
ボン	bon
オン	on
トン	ton
モン	mon
ザン	zan
パン	pan
カン	kan
ナン	nan
ヤン	yan
ジン	jin
ピン	pin
キン	kin
ニン	nin
ユン	yun
ズン	zun
プン	pun
クン	kun
ヌン	nun
ヨン	yon
ゼン	zen
ペン	pen
ケン	ken
ネン	nen
ラン	ran
ゾン	zon
ポン	pon
コン	kon
ノン	non
リン	rin
ダン	dan
ンン	Nn
サン	san
ハン	han
ルン	run
ヴン	vn
シン	shin
ヒン	hin
レン	ren
スン	sun
フン	hun
ロン	ron
デン	den
セン	sen
ヘン	hen
ワン	wan
ドン	don
ソン	son
ホン	hon
ガン	gan
バン	ban
ティン	tin
ヴェン	ven
ギャン	gyan
ニャン	nyon
テゥン	tun
ヴォン	von
ギュン	gyun
ヒャン	hyan
ディン	din
ヴュン	vyun
ギョン	gyon
ヒュン	hyun
デゥン	dun
ツァン	tsan
シャン	shan
ヒョン	hyon
テュン	tyun
ツィン	tsin
シュン	shun
ビャン	byan
デュン	dyun
ツェン	tsen
ション	shon
ビュン	byun
ツォン	tson
ジャン	jan
ビョン	byon
ジュン	jun
ピャン	pyan
ウィン	win
ジョン	jon
ピュン	pyun
ウェン	wen
チャン	chan
ピョン	pyon
ウォン	won
チュン	chun
ミャン	myan
ファン	fan
シェン	shen
チョン	chon
ミュン	myun
フィン	fin
ジェン	jen
ミョン	myon
フェン	fen
チェン	chen
リャン	ryan
フォン	fon
キャン	kyan
リュン	ryun
ヴァン	van
キュン	kyun
ニャン	nyan
リュン	ryon
ヴィン	vin
キョン	kyon
ニュン	nyun
