percent,パーセント
page,ページ
center,センター
service,サービス
system,システム
metre,メートル
television,テレビ
mail,メール
data,データ
point,ポイント
home,ホーム
hotel,ホテル
blog,ブログ
click,クリック
group,グループ
energy,エネルギー
type,タイプ
dollar,ドル
up,アップ
image,イメージ
sport,スポーツ
personalcomputer,パソコン
model,モデル
level,レベル
card,カード
team,チーム
bus,バス
soft,ソフト
file,ファイル
kilo,キロ
case,ケース
door,ドア
site,サイト
check,チェック
fax,ファックス
one,ワン
game,ゲーム
design,デザイン
ball,ボール
club,クラブ
maker,メーカー
fan,ファン
internet,インターネット
net,ネット
gas,ガス
pao,パン
line,ライン
course,コース
tabaco,タバコ
camera,カメラ
theme,テーマ
table,テーブル
bed,ベッド
pro,プロ
top,トップ
in,イン
button,ボタン
computer,コンピューター
the,ザ
balance,バランス
mama,ママ
time,タイム
class,クラス
network,ネットワーク
member,メンバー
building,ビル
program,プログラム
menu,メニュー
glas,ガラス
set,セット
start,スタート
news,ニュース
key,キー
man,マン
engine,エンジン
style,スタイル
base,ベース
coffee,コーヒー
drama,ドラマ
cost,コスト
sheet,シート
okay,オーケー
risk,リスク
window,ウインドー
event,イベント
video,ビデオ
color,カラー
media,メディア
beer,ビール
on,オン
super,スーパー
brand,ブランド
kilometre,キロメートル
centimetre,センチ
test,テスト
race,レース
mansion,マンション
millimetre,ミリメートル
bar,バー
hall,ホール
shop,ショップ
business,ビジネス
ton,トン
shirt,シャツ
toilet,トイレ
staff,スタッフ
stress,ストレス
cup,カップ
wine,ワイン
speed,スピード
comment,コメント
play,プレー
volunteer,ボランティア
rule,ルール
series,シリーズ
auction,オークション
plus,プラス
cream,クリーム
open,オープン
digital,デジタル
back,バック
bag,バッグ
address,アドレス
pattern,パターン
best,ベスト
box,ボックス
free,フリー
message,メッセージ
project,プロジェクト
corner,コーナー
chance,チャンス
of,オブ
control,コントロール
virus,ウイルス
scythe,サイズ
mark,マーク
number,ナンバー
power,パワー
scene,シーン
advice,アドバイス
shock,ショック
access,アクセス
my,マイ
blue,ブルー
radio,ラジオ
title,タイトル
user,ユーザー
car,カー
present,プレゼント
copy,コピー
curry,カレー
golf,ゴルフ
care,ケア
restaurant,レストラン
tel,テル
trouble,トラブル
cut,カット
live,ライブ
show,ショー
kilogramme,キログラム
soccer,サッカー
hristmas,クリスマス
sauce,ソース
communication,コミュニケーション
pink,ピンク
code,コード
space,スペース
star,スター
party,パーティー
list,リスト
drive,ドライブ
tool,ツール
pocket,ポケット
minus,マイナス
tape,テープ
note,ノート
word,ワード
cake,ケーキ
taxi,タクシー
sex,セックス
mode,モード
side,サイド
memo,メモ
papa,パパ
and,アンド
green,グリーン
main,メーン
soup,スープ
des,デ
piano,ピアノ
plan,プラン
tour,ツアー
truck,トラック
text,テキスト
bike,バイク
lens,レンズ
house,ハウス
ahmen,ラーメン
process,プロセス
kiss,キス
coat,コート
league,リーグ
new,ニュー
needs,ニーズ
mistake,ミス
salad,サラダ
off,オフ
part,パート
mini,ミニ
apartment,アパート
season,シーズン
zero,ゼロ
tomato,トマト
loan,ローン
web,ウェブ
oil,オイル
body,ボディー
size,サイズ
cheese,チーズ
stage,ステージ
pack,パック
gom,ゴム
cover,カバー
leader,リーダー
slam,イスラム
high,ハイ
hit,ヒット
day,デー
band,バンド
route,ルート
room,ルーム
idea,アイディア
towel,タオル
full,フル
pants,パンツ
concert,コンサート
dance,ダンス
glass,グラス
album,アルバム
sign,サイン
terrorism,テロ
love,ラブ
ski,スキー
pen,ペン
butter,バター
white,ホワイト
alcohol,アルコール
graph,グラフ
office,オフィス
run,ラン
pet,ペット
rhythm,リズム
training,トレーニング
record,レコード
step,ステップ
ormon,ホルモン
merit,メリット
tire,タイヤ
bank,バンク
counter,カウンター
ranking,ランキング
block,ブロック
down,ダウン
art,アート
skirt,スカート
film,フィルム
original,オリジナル
milli,ミリ
work,ワーク
cable,ケーブル
community,コミュニティー
no,ノー
driver,ドライバー
camp,キャンプ
simple,シンプル
orange,オレンジ
pool,プール
support,サポート
player,プレーヤー
cell,セル
timing,タイミング
pass,パス
memory,メモリー
world,ワールド
goal,ゴール
black,ブラック
vitamin,ビタミン
fashion,ファッション
share,シェア
server,サーバー
animation,アニメ
to,ツー
by,バイ
out,アウト
recycle,リサイクル
interview,インタビュー
option,オプション
double,ダブル
ticket,チケット
item,アイテム
install,インストール
debut,デビュー
kitchen,キッチン
channel,チャンネル
belt,ベルト
concrete,コンクリート
school,スクール
story,ストーリー
diet,ダイエット
suit,スーツ
disc,ディスク
milk,ミルク
salaryman,サラリーマン
switch,スイッチ
machine,マシン
food,フード
tunnel,トンネル
on,イオン
panel,パネル
report,レポート
boom,ブーム
life,ライフ
date,デート
mouse,マウス
folder,フォルダー
ice,アイス
approach,アプローチ
two,ツー
rock,ロック
bubble,バブル
land,ランド
cafe,カフェ
all,オール
laser,レーザー
lympic,オリンピック
area,エリア
guide,ガイド
gasoline,ガソリン
lead,リード
real,リアル
pace,ペース
knife,ナイフ
sun,サン
jacket,ジャケット
dam,ダム
millilitre,ミリリットル
massage,マッサージ
rbeit,バイト
field,フィールド
le,ル
clear,クリア
short,ショート
print,プリント
owner,オーナー
hard,ハード
juice,ジュース
front,フロント
air,エアー
tennis,テニス
park,パーク
make,メーク
ring,リング
chain,チェーン
boy,ボーイ
peak,ピーク
,エッチ
litre,リットル
range,レンジ
rbeit,アルバイト
sofa,ソファー
family,ファミリー
hectare,ヘクタール
lunch,ランチ
guitar,ギター
character,キャラクター
global,グローバル
convenience,コンビニ
dress,ドレス
parts,パーツ
light,ライト
road,ロード
enquete,アンケート
brake,ブレーキ
bottle,ボトル
master,マスター
piece,ピース
stand,スタンド
character,キャラ
volume,ボリューム
robot,ロボット
red,レッド
manager,マネージャー
frame,フレーム
career,キャリア
version,バージョン
illustration,イラスト
software,ソフトウェア
bench,ベンチ
over,オーバー
market,マーケット
ribbon,リボン
shower,シャワー
hint,ヒント
post,ポスト
curtain,カーテン
city,シティー
big,ビッグ
recipe,レシピ
form,フォーム
map,マップ
seminar,セミナー
plastics,プラスチック
inyl,ビニール
management,マネージメント
elevator,エレベーター
download,ダウンロード
action,アクション
head,ヘッド
circle,サークル
link,リンク
spot,スポット
allergie,アレルギー
security,セキュリティー
schedule,スケジュール
smooth,スムーズ
guest,ゲスト
ham,ハム
collection,コレクション
baby,ベビー
episode,エピソード
boat,ボート
plaza,プラザ
mat,マット
opera,オペラ
shot,ショット
heart,ハート
long,ロング
jupon,ズボン
category,カテゴリー
missile,ミサイル
monitor,モニター
lesson,レッスン
manual,マニュアル
board,ボード
you,ユー
calorie,カロリー
coach,コーチ
cycle,サイクル
tank,タンク
partner,パートナー
first,ファースト
rate,レート
cabbage,キャベツ
flow,フロー
lemon,レモン
de,ド
book,ブック
photo,フォト
cash,キャッシュ
pipe,パイプ
chocolate,チョコレート
kilocalorie,キロカロリー
chip,チップ
paper,ペーパー
log,ログ
challenge,チャレンジ
hair,ヘア
rink,リンク
application,アプリケーション
