シ	si
ジ	zi
フ	fu
シャ	sya
シャ	shya
シュ	syu
シュ	shyu
ショ	syo
ショ	shyo
ジャ	jya
ジャ	dya
ジュ	jyu
ジュ	dyu
ジョ	jyo
ジョ	dyo
シー	sii
ッシ	ssi
ッシー	ssii
ジー	zii
ッジ	zzi
ッジー	zzii
フー	fuu
ッフ	ffu
ッフー	ffuu
シャー	syaa
ッシャ	ssya
ッシャー	ssyaa
シャー	shyaa
ッシャ	sshya
ッシャー	sshyaa
シュー	syuu
ッシュ	ssyu
ッシュー	ssyuu
シュー	shyuu
ッシュ	sshyu
ッシュー	sshyuu
ショー	syoo
ッショ	ssyo
ッショー	ssyoo
ショー	shyoo
ッショ	sshyo
ッショー	sshyoo
ジャー	jyaa
ッジャ	jjya
ッジャー	jjyaa
ジャー	dyaa
ッジャ	ddya
ッジャー	ddyaa
ジュー	jyuu
ッジュ	jjyu
ッジュー	jjyuu
ジュー	dyuu
ッジュ	ddyu
ッジュー	ddyuu
ジョー	jyoo
ッジョ	jjyo
ッジョー	jjyoo
ジョー	dyoo
ッジョ	ddyo
ッジョー	ddyoo
