アイ	ai
アウ	au
アエ	ae
アオ	ao
タイ	tai
タウ	tau
タエ	tae
タオ	tao
マイ	mai
マウ	mau
マエ	mae
マオ	mao
ギア	gia
ギウ	giu
ギエ	gie
ギオ	gio
ビア	bia
ビウ	biu
ビエ	bie
ビオ	bio
イア	ia
イウ	iu
イエ	ie
イオ	io
チア	chia
チウ	chiu
チエ	chie
チオ	chio
ミア	mia
ミウ	miu
ミエ	mie
ミオ	mio
グア	gua
グイ	gui
グエ	gue
グオ	guo
ブア	bua
ブイ	bui
ブエ	bue
ブオ	buo
ウア	ua
ウイ	ui
ウエ	ue
ウオ	uo
ツア	tsua
ツイ	tsui
ツエ	tsue
ツオ	tsuo
ムア	mua
ムイ	mui
ムエ	mue
ムオ	muo
ゲア	gea
ゲイ	gei
ゲウ	geu
ゲオ	geo
ベア	bea
ベイ	bei
ベウ	beu
ベオ	beo
エア	ea
エイ	ei
エウ	eu
エオ	eo
テア	tea
テイ	tei
テウ	teu
テオ	teo
メア	mea
メイ	mei
メウ	meu
メオ	meo
ゴア	goa
ゴイ	goi
ゴウ	gou
ゴエ	goe
ボア	boa
ボイ	boi
ボウ	bou
ボエ	boe
オア	oa
オイ	oi
オウ	ou
オエ	oe
トア	toa
トイ	toi
トウ	tou
トエ	toe
モア	moa
モイ	moi
モウ	mou
モエ	moe
ザイ	zai
ザウ	zau
ザエ	zae
ザオ	zao
パイ	pai
パウ	pau
パエ	pae
パオ	pao
カイ	kai
カウ	kau
カエ	kae
カオ	kao
ナイ	nai
ナウ	nau
ナエ	nae
ナオ	nao
ヤイ	yai
ヤウ	yau
ヤエ	yae
ヤオ	yao
ジア	jia
ジウ	jiu
ジエ	jie
ジオ	jio
ピア	pia
ピウ	piu
ピエ	pie
ピオ	pio
キア	kia
キウ	kiu
キエ	kie
キオ	kio
ニア	nia
ニウ	niu
ニエ	nie
ニオ	nio
ユア	yua
ユイ	yui
ユエ	yue
ユオ	yuo
ズア	zua
ズイ	zui
ズエ	zue
ズオ	zuo
プア	pua
プイ	pui
プエ	pue
プオ	puo
クア	kua
クイ	kui
クエ	kue
クオ	kuo
ヌア	nua
ヌイ	nui
ヌエ	nue
ヌオ	nuo
ヨア	yoa
ヨイ	yoi
ヨウ	you
ヨエ	yoe
ゼア	zea
ゼイ	zei
ゼウ	zeu
ゼオ	zeo
ペア	pea
ペイ	pei
ペウ	peu
ペオ	peo
ケア	kea
ケイ	kei
ケウ	keu
ケオ	keo
ネア	nea
ネイ	nei
ネウ	neu
ネオ	neo
ライ	rai
ラウ	rau
ラエ	rae
ラオ	rao
ゾア	zoa
ゾイ	zoi
ゾウ	zou
ゾエ	zoe
ポア	poa
ポイ	poi
ポウ	pou
ポエ	poe
コア	koa
コイ	koi
コウ	kou
コエ	koe
ノア	noa
ノイ	noi
ノウ	nou
ノエ	noe
リア	ria
リウ	riu
リエ	rie
リオ	rio
ダイ	dai
ダウ	dau
ダエ	dae
ダオ	dao
サイ	sai
サウ	sau
サエ	sae
サオ	sao
ハイ	hai
ハウ	hau
ハエ	hae
ハオ	hao
ルア	rua
ルイ	rui
ルエ	rue
ルオ	ruo
シア	shia
シウ	shiu
シエ	shie
シオ	shio
ヒア	hia
ヒウ	hiu
ヒエ	hie
ヒオ	hio
レア	rea
レイ	rei
レウ	reu
レオ	reo
スア	sua
スイ	sui
スエ	sue
スオ	suo
フア	hua
フイ	hui
フエ	hue
フオ	huo
ロア	roa
ロイ	roi
ロウ	rou
ロエ	roe
デア	dea
デイ	dei
デウ	deu
デオ	deo
セア	sea
セイ	sei
セウ	seu
セオ	seo
ヘア	hea
ヘイ	hei
ヘウ	heu
ヘオ	heo
ワイ	wai
ワウ	wau
ワエ	wae
ワオ	wao
ドア	doa
ドイ	doi
ドウ	dou
ドエ	doe
ソア	soa
ソイ	soi
ソウ	sou
ソエ	soe
ホア	hoa
ホイ	hoi
ホウ	hou
ホエ	hoe
ガイ	gai
ガウ	gau
ガエ	gae
ガオ	gao
バイ	bai
バウ	bau
バエ	bae
バオ	bao
ティア	tia
ティウ	tiu
ティエ	tie
ティオ	tio
ヴェア	vea
ヴェイ	vei
ヴェウ	veu
ヴェオ	veo
ギャイ	gyai
ギャウ	gyau
ギャエ	gyae
ギャオ	gyao
ニャア	nyoa
ニャイ	nyoi
ニャウ	nyou
ニャエ	nyoe
テゥア	tua
テゥイ	tui
テゥエ	tue
テゥオ	tuo
ヴォア	voa
ヴォイ	voi
ヴォウ	vou
ヴォエ	voe
ギュア	gyua
ギュイ	gyui
ギュエ	gyue
ギュオ	gyuo
ヒャイ	hyai
ヒャウ	hyau
ヒャエ	hyae
ヒャオ	hyao
ディア	dia
ディウ	diu
ディエ	die
ディオ	dio
ヴュア	vyua
ヴュイ	vyui
ヴュエ	vyue
ヴュオ	vyuo
ギョア	gyoa
ギョイ	gyoi
ギョウ	gyou
ギョエ	gyoe
ヒュア	hyua
ヒュイ	hyui
ヒュエ	hyue
ヒュオ	hyuo
デゥア	dua
デゥイ	dui
デゥエ	due
デゥオ	duo
ツァイ	tsai
ツァウ	tsau
ツァエ	tsae
ツァオ	tsao
シャイ	shai
シャウ	shau
シャエ	shae
シャオ	shao
ヒョア	hyoa
ヒョイ	hyoi
ヒョウ	hyou
ヒョエ	hyoe
テュア	tyua
テュイ	tyui
テュエ	tyue
テュオ	tyuo
ツィア	tsia
ツィウ	tsiu
ツィエ	tsie
ツィオ	tsio
シュア	shua
シュイ	shui
シュエ	shue
シュオ	shuo
ビャイ	byai
ビャウ	byau
ビャエ	byae
ビャオ	byao
デュア	dyua
デュイ	dyui
デュエ	dyue
デュオ	dyuo
ツェア	tsea
ツェイ	tsei
ツェウ	tseu
ツェオ	tseo
ショア	shoa
ショイ	shoi
ショウ	shou
ショエ	shoe
ビュア	byua
ビュイ	byui
ビュエ	byue
