page,010,ページ
center,01100,センター
service,001010,サービス
system,01101,システム
metre,0110,メートル
television,010100101,テレビジョン
mail,001,メール
data,010,データ
point,0011,ポイント
home,010,ホーム
hotel,0101,ホテル
blog,101,ブログ
click,1010,クリック
group,1001,グループ
type,010,タイプ
dollar,00100,ダラー
up,1,アップ
image,1010,イメージ
sport,1001,スポーツ
model,0101,モデル
level,0101,レベル
card,001,カード
team,001,チーム
bus,01,バス
soft,011,ソフト
file,010,ファイル
kilo,010,キロ
case,010,ケース
door,000,ドア
check,0010,チッキ
fax,01,ファックス
one,01,ワン
ball,010,ボール
club,101,クラブ
maker,0100,メーカー
fan,01,ファン
internet,1100101,インターネット
net,01,ネット
gas,01,ガス
pao,01,パン
line,010,ライン
course,00010,コース
tabaco,01010,タバコ
camera,01010,カメラ
theme,0010,テーマ
table,0110,テーブル
bed,01,ベッド
pro,10,プロ
in,1,イン
button,00101,ボタン
computer,0110100,コンピューター
the,00,ジ
balance,010110,バランス
mama,010,ママ
time,010,タイム
class,1010,クラス
network,011001,ネットワーク
member,01100,メンバー
building,0011011,ビルディング
program,101101,プログラム
menu,010,メニュー
glas,101,ガラス
set,01,セット
start,1001,スタート
news,001,ニュース
key,00,キー
man,01,マン
engine,11010,エンジン
style,1010,スタイル
base,010,ベース
coffee,00100,コーヒー
drama,1010,ドラマ
cost,011,コスト
okay,100,オーケー
risk,011,リスク
window,01100,ウインドー
event,1011,イベント
video,0100,ビデオ
color,0100,カラー
media,0100,メディア
beer,001,ビール
on,1,イオン
super,0100,スーパー
brand,1011,ブランド
kilometre,01010110,キロメートル
centimetre,010010000,センチ
test,011,テスト
race,010,レース
mansion,011001,マンション
millimetre,001010110,ミリメートル
bar,00,バー
hall,010,ホール
shop,001,ショップ
business,0101010,ビジネス
shirt,0001,シャツ
toilet,00101,トイレット
staff,1010,スタッフ
stress,11010,ストレス
cup,01,カップ
wine,010,ワイン
speed,1001,スピード
comment,001000,コメ
play,100,プレー
volunteer,01011000,ボランティア
rule,010,ルール
series,01001,シリーズ
auction,011001,オークション
plus,101,プラス
cream,1001,クリーム
open,101,オープン
back,010,バック
bag,01,バッグ
pattern,001001,パターン
best,011,ベスト
box,01,ボックス
free,100,フリー
message,010010,メッセージ
corner,00100,コーナー
chance,00110,チャンス
of,1,オブ
control,011101,コントロール
virus,0101,ウイルス
scythe,00100,サイズ
mark,001,マーク
number,01000,ナム
power,0100,パワー
advice,11010,アドバイス
access,11010,アクセス
my,0,マイ
blue,100,ブルー
radio,0100,ラジオ
title,0110,タイトル
user,100,ユーザー
car,00,カー
present,101011,プレゼント
copy,010,コピー
curry,0100,カレー
golf,011,ゴルフ
care,000,ケア
restaurant,011001010,レストラン
tel,01,テル
trouble,010110,トラブル
cut,01,カット
live,010,リブ
show,000,ショー
kilogramme,010110010,キログラム
soccer,01000,サッカー
hristmas,1010101,クリスマス
sauce,0010,ソース
communication,010010101001,コミュニケーション
pink,011,ピンク
code,010,コード
space,1010,スペース
star,100,スター
party,0010,パーティー
list,011,リスト
drive,1010,ドライブ
tool,001,ツール
pocket,01000,ポッケ
minus,0101,マイナス
tape,010,テープ
note,010,ノーパソ
word,001,ワード
cake,010,ケーキ
taxi,011,タクシー
sex,01,セックス
mode,010,モード
side,010,サイド
memo,010,メモ
papa,010,パパ
and,11,アンド
green,1001,グリーン
main,001,メーン
soup,001,スープ
des,00,デ
piano,0010,ピアノ
plan,101,プラン
truck,1010,トロッコ
text,011,テキスト
bike,010,バイク
lens,011,レンズ
house,0010,ハウス
process,101010,プロセス
kiss,010,キス
coat,001,コート
new,00,ニュー
needs,0010,ニーズ
salad,0101,サラダ
off,10,オフ
part,001,パート
mini,010,ミニ
apartment,10011011,アパートメント
season,00101,シーズン
zero,010,ゼロ
tomato,01010,トマト
loan,001,ローン
web,01,ウェブ
oil,01,オイル
body,010,ボディー
size,010,サイズ
cheese,00010,チーズ
stage,1010,ステージ
pack,010,パック
gom,01,ゴム
cover,0100,カバー
slam,101,スラム
high,000,ハイ
hit,01,ヒット
day,00,デー
band,011,バンド
route,0010,ルート
room,001,ルーム
idea,100,イデア
towel,0010,タオル
full,010,フル
pants,0110,パンツ
dance,0110,ダンス
glass,1010,グラス
album,1101,アルバム
sign,001,サイン
terrorism,00101011,テロリズム
love,010,ラブ
ski,10,スキー
pen,01,ペン
butter,00100,バター
white,0010,ホワイト
alcohol,110001,アルコール
graph,1010,グラフ
office,01010,オフィス
run,01,ラン
pet,01,ペット
rhythm,00101,リズム
training,1001011,トレーニング
record,01001,レコード
step,101,ステップ
ormon,1101,ホルモン
