original,expected,first
kitchen,キッチン,キトチェン
second,セカンド,セコンド
social,ソーシャル,ソシャル
nickel,ニッケル,ニクケル
crayon,クレヨン,クラヨン
collage,コラージュ,コルラジ
bathrobe,バスローブ,バスロブ
muni,ムニ,マニ
botulinus,ボツリヌス,ボタリナス
aeon,イオン,アジョン
nipple,ニップル,ニプル
clad,クラッド,クラド
announcement,アナウンスメント,アナンセメント
abaglione,ザバイオーネ,アバグリオン
monoamine,モノアミン,モノーミン
ragout,ラグー,ラグート
leucocoryne,リューココリネ,ルーココリーネ
andarat,アンダーラート,アンダラト
ingly,キングリー,イングリー
choke,チョーク,チョク
butadiene,ブタジエン,バタディーネ
zuppa,ズッパ,ズープパ
hats,ザッツ,ハツ
shuba,シューバ,シャバ
monopole,モノポール,モノポル
luge,リュージュ,ルージ
npec,アンペック,ンペック
cannelloni,カネロニ,カンネルロニー
calipers,カリパス,カリパーズ
clenbuterol,クレンブテロール,クレンバテロル
drypoint,ドライポイント,ドリポイント
peregrinus,ペレグリヌス,ペレグリナス
adoptive,アダプティブ,アドプティブ
blechley,ブレックリー,ブレクリー
cappella,カペラ,カプペラ
chunnel,チャネル,チャンネル
clive,クライブ,クリブ
coia,コーヤ,コイア
critz,カイツ,クリツ
crystals,クリスタルズ,クリスタル
damoose,ドムス,ダムーズ
delegate,デリゲート,デレゲート
derrow,ドエロ,ダーロ
diggers,ディガーズ,ディグガーズ
dorais,ダーエ,ドレーズ
dorroh,ドロー,ドルロー
freud,フロイド,フルード
geddie,ジェディ,ジェドディー
hanukkah,ハナコ,ハナクカ
hautala,ホタルイ,ホータラ
hearth,ハース,ヒールス
jupiter,ジュピター,ジャピター
keaney,キニー,キーニー
laycock,ラコック,レーコック
lerach,レリク,レラク
liquors,リカーズ,リクオーズ
mackall,マカル,マクカル
majeure,モジュア,マジユール
marcille,ナーシル,マーシル
mccuvey,マカビ,マクカビー
mire,マイア,ミレ
philomena,フィロミナ,フィロメナ
rozzi,ラジー,ロジー
sammie,サミー,サンミー
