キッチン	kitchen	kichne
セカンド	second	celcand
クレヨン	crayon	cllyong
バスローブ	bathrobe	baslove
タートルネック	turtleneck	tartornequ
ボツリヌス	botulinus	botslinus
イオン	aeon	ione
アナウンスメント	announcement	anaunsment
ワーカホリック	workaholic	workafolick
エフェドラ	ephedra	efedla
ザバイオーネ	abaglione	zabrion
シグナ	signa	thegrn
ラグー	ragout	lagu
リューココリネ	leucocoryne	lewkocoline
アンダーラート	andarat	anderlate
ステントレス	stentless	stentorest
ブタジエン	butadiene	betadghine
レニウム	rhenium	leniume
ザッツ	hats	zats
アンペック	npec	ampect
カネロニ	cannelloni	caneloni
カリパス	calipers	calipast
ペレグリヌス	peregrinus	pareglinus
ブレックリー	blechley	brecli
カペラ	cappella	capera
チャネル	chunnel	chanell
コーヤ	coia	coar
カイツ	critz	cailz
クリスタルズ	crystals	clistalthe
ドムス	damoose	demest
デリゲート	delegate	deligat
ドエロ	derrow	dero
ディガーズ	diggers	digerthe
ダーエ	dorais	derae
ドロー	dorroh	dro
ダッチ	dutch	duch
ジェディ	geddie	jed
ハナコ	hanukkah	hnaco
ホタルイ	hautala	hotali
カーツ	kartes	carts
キニー	keaney	kini
ラコック	laycock	lachoch
レリク	lerach	relick
リカーズ	liquors	licherse
マカル	mackall	macall
モジュア	majeure	modua
ナーシル	marcille	narcill
マカフィー	mcafee	macof
マカビ	mccuvey	makevi
マイア	mire	myer
マーフ	murff	merf
ノルト	nolt	nort
フィロミナ	philomena	firomina
ルード	rood	lude
ラジー	rozzi	lage
サミー	sammie	same
